sn,spp,mrca1,mrca2,position,source,,,
001,Aedes_Abraedes_papago,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,0,"Add taxa by node, to the same node"
002,Aedes_Acartomyia_mariae,Aedes_Acartomyia_phoeniciae,,4,S2017,,1,"Add taxa by node, 1 level up"
003,Aedes_Acartomyia_phoeniciae,,,keep,S2017,,2,Add taxa by tip (S2023)
004,Aedes_Acartomyia_zammitii,Aedes_Acartomyia_phoeniciae,,4,S2017,,3,Add taxa by tip (genbank)
005,Aedes_Aedes_cinereus,,,keep,S2017,,4,Add taxa by tip (S2017)
006,Aedes_Aedes_esoensis,,,keep,S2017,,,
007,Aedes_Aedes_geminus,,,keep,S2017,,,
008,Aedes_Aedes_rossicus,,,keep,S2017,,,
009,Aedes_Aedes_yamadai,,,keep,S2017,,,
010,Aedes_Aedimorphus_alboventralis,Aedes_Aedimorphus_centropunctatus,,3,genbank,,,
011,Aedes_Aedimorphus_centropunctatus,,,keep,S2017,,,
012,Aedes_Aedimorphus_cumminsii,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
013,Aedes_Aedimorphus_dalzieli,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
014,Aedes_Aedimorphus_dentatus,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
015,Aedes_Aedimorphus_durbanensis,Aedes_Aedimorphus_centropunctatus,,3,genbank,,,
016,Aedes_Aedimorphus_eritreae,Aedes_Aedimorphus_centropunctatus,,3,genbank,,,
017,Aedes_Aedimorphus_fowleri,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
018,Aedes_Aedimorphus_hirsutus,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
019,Aedes_Aedimorphus_mediolineatus,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
020,Aedes_Aedimorphus_nigricephalus,Aedes_Aedimorphus_centropunctatus,,3,genbank,,,
021,Aedes_Aedimorphus_ochraceus,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
022,Aedes_Aedimorphus_pachyurus,Aedes_Aedimorphus_centropunctatus,,3,genbank,,,
023,Aedes_Aedimorphus_pallidostriatus,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
024,Aedes_Aedimorphus_quasiunivittatus,Aedes_Aedimorphus_centropunctatus,,3,genbank,,,
025,Aedes_Aedimorphus_vexans,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
026,Aedes_Albuginosus_capensis,Aedes_Aedimorphus_vexans,Zeugnomyia_0_gracilis,0,genbank,,,
027,Aedes_Albuginosus_haworthi,Aedes_Albuginosus_capensis,,3,genbank,,,
028,Aedes_Aztecaedes_ramirezi,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
029,Aedes_Borichinda_cavernicola,,,keep,S2017,,,
030,Aedes_Bothaella_helenae,Aedes_Bothaella_kleini,,4,S2017,,,
031,Aedes_Bothaella_kleini,,,keep,S2017,,,
032,Aedes_Bothaella_manhi,Aedes_Bothaella_kleini,,4,S2017,,,
033,Aedes_Bruceharrisonius_aureostriatus,,,keep,S2017,,,
034,Aedes_Bruceharrisonius_greenii,,,keep,S2017,,,
035,Aedes_Catageiomyia_argenteopunctatus,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
036,Aedes_Catageiomyia_microstictus,Aedes_Aedimorphus_centropunctatus,Aedes_Catageiomyia_argenteopunctatus,3,genbank,,,
037,Aedes_Catageiomyia_tarsalis,Aedes_Aedimorphus_centropunctatus,,4,S2017,,,
038,Aedes_Collessius_elsiae,,,keep,S2017,,,
039,Aedes_Collessius_hatorii,Aedes_Collessius_elsiae,,4,S2017,,,
040,Aedes_Collessius_macfarlanei,Aedes_Collessius_tonkinensis,Aedes_Collessius_pseudotaeniatus,0,genbank,,,
